,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,market_cap,phone_number,address,description,sic_code,sic_description,ticker_root,homepage_url,total_employees,list_date,branding,share_class_shares_outstanding,weighted_shares_outstanding
address1,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,P.O. BOX 696000,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,,408100000,408096416
city,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,SAN ANTONIO,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,,408100000,408096416
state,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,TX,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,,408100000,408096416
postal_code,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,78269-6000,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,,408100000,408096416
logo_url,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,https://api.polygon.io/v1/reference/company-branding/d3d3LnZhbGVyby5jb20/images/2022-01-10_logo.svg,408100000,408096416
icon_url,VLO,Valero Energy Corporation,stocks,us,XNYS,CS,True,usd,0001035002,BBG000BBGGQ1,BBG001S5X8K9,42792990181.76,(210) 345-4524,,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 700 million gallons per year of renewable diesel.",2911,PETROLEUM REFINING,VLO,https://www.valero.com,9813,1997-08-01,https://api.polygon.io/v1/reference/company-branding/d3d3LnZhbGVyby5jb20/images/2022-01-10_icon.png,408100000,408096416
