,SIC Code,Office,Industry Title
100,2990,Office of Energy & Transportation,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL
101,3011,Office of Manufacturing,TIRES & INNER TUBES
102,3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR
103,3050,Office of Manufacturing,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE"
104,3060,Office of Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC"
105,3080,Office of Manufacturing,MISCELLANEOUS PLASTICS PRODUCTS
106,3081,Office of Manufacturing,UNSUPPORTED PLASTICS FILM & SHEET
107,3086,Office of Manufacturing,PLASTICS FOAM PRODUCTS
108,3089,Office of Manufacturing,"PLASTICS PRODUCTS, NEC"
109,3100,Office of Manufacturing,LEATHER & LEATHER PRODUCTS
110,3140,Office of Manufacturing,"FOOTWEAR, (NO RUBBER)"
111,3211,Office of Manufacturing,FLAT GLASS
112,3220,Office of Manufacturing,"GLASS & GLASSWARE, PRESSED OR BLOWN"
113,3221,Office of Manufacturing,GLASS CONTAINERS
114,3231,Office of Manufacturing,"GLASS PRODUCTS, MADE OF PURCHASED GLASS"
115,3241,Office of Manufacturing,"CEMENT, HYDRAULIC"
116,3250,Office of Manufacturing,STRUCTURAL CLAY PRODUCTS
117,3260,Office of Manufacturing,POTTERY & RELATED PRODUCTS
118,3270,Office of Manufacturing,"CONCRETE, GYPSUM & PLASTER PRODUCTS"
119,3272,Office of Manufacturing,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK"
120,3281,Office of Manufacturing,CUT STONE & STONE PRODUCTS
121,3290,Office of Manufacturing,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS"
122,3310,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS"
123,3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
124,3317,Office of Manufacturing,STEEL PIPE & TUBES
125,3320,Office of Manufacturing,IRON & STEEL FOUNDRIES
126,3330,Office of Manufacturing,PRIMARY SMELTING & REFINING OF NONFERROUS METALS
127,3334,Office of Manufacturing,PRIMARY PRODUCTION OF ALUMINUM
128,3341,Office of Manufacturing,SECONDARY SMELTING & REFINING OF NONFERROUS METALS
129,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
130,3357,Office of Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
131,3360,Office of Manufacturing,NONFERROUS FOUNDRIES (CASTINGS)
132,3390,Office of Manufacturing,MISCELLANEOUS PRIMARY METAL PRODUCTS
133,3411,Office of Manufacturing,METAL CANS
134,3412,Office of Manufacturing,"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS"
135,3420,Office of Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
136,3430,Office of Manufacturing,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES"
137,3433,Office of Manufacturing,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES"
138,3440,Office of Manufacturing,FABRICATED STRUCTURAL METAL PRODUCTS
139,3442,Office of Manufacturing,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM"
140,3443,Office of Manufacturing,FABRICATED PLATE WORK (BOILER SHOPS)
141,3444,Office of Manufacturing,SHEET METAL WORK
142,3448,Office of Manufacturing,PREFABRICATED METAL BUILDINGS & COMPONENTS
143,3451,Office of Manufacturing,SCREW MACHINE PRODUCTS
144,3452,Office of Manufacturing,"BOLTS, NUTS, SCREWS, RIVETS & WASHERS"
145,3460,Office of Manufacturing,METAL FORGINGS & STAMPINGS
146,3470,Office of Manufacturing,"COATING, ENGRAVING & ALLIED SERVICES"
147,3480,Office of Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
148,3490,Office of Manufacturing,MISCELLANEOUS FABRICATED METAL PRODUCTS
149,3510,Office of Technology,ENGINES & TURBINES
150,3523,Office of Technology,FARM MACHINERY & EQUIPMENT
151,3524,Office of Technology,LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP
152,3530,Office of Technology,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP"
153,3531,Office of Technology,CONSTRUCTION MACHINERY & EQUIP
154,3532,Office of Technology,MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP)
155,3533,Office of Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT
156,3537,Office of Technology,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS"
157,3540,Office of Technology,METALWORKG MACHINERY & EQUIPMENT
158,3541,Office of Technology,"MACHINE TOOLS, METAL CUTTING TYPES"
159,3550,Office of Technology,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
160,3555,Office of Technology,PRINTING TRADES MACHINERY & EQUIPMENT
161,3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC"
162,3560,Office of Technology,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
163,3561,Office of Technology,PUMPS & PUMPING EQUIPMENT
164,3562,Office of Technology,BALL & ROLLER BEARINGS
165,3564,Office of Technology,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
166,3567,Office of Technology,INDUSTRIAL PROCESS FURNACES & OVENS
167,3569,Office of Technology,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC"
168,3570,Office of Technology,COMPUTER & OFFICE EQUIPMENT
169,3571,Office of Technology,ELECTRONIC COMPUTERS
170,3572,Office of Technology,COMPUTER STORAGE DEVICES
171,3575,Office of Technology,COMPUTER TERMINALS
172,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT
173,3577,Office of Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
174,3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS)
175,3579,Office of Technology,"OFFICE MACHINES, NEC"
176,3580,Office of Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY
177,3585,Office of Technology,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP
178,3590,Office of Technology,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
179,3600,Office of Manufacturing,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
180,3612,Office of Manufacturing,"POWER, DISTRIBUTION & SPECIALTY TRANSFORMERS"
181,3613,Office of Manufacturing,SWITCHGEAR & SWITCHBOARD APPARATUS
182,3620,Office of Manufacturing,ELECTRICAL INDUSTRIAL APPARATUS
183,3621,Office of Manufacturing,MOTORS & GENERATORS
184,3630,Office of Manufacturing,HOUSEHOLD APPLIANCES
185,3634,Office of Manufacturing,ELECTRIC HOUSEWARES & FANS
186,3640,Office of Manufacturing,ELECTRIC LIGHTING & WIRING EQUIPMENT
187,3651,Office of Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT
188,3652,Office of Manufacturing,PHONOGRAPH RECORDS & PRERECORDED AUDIO TAPES & DISKS
189,3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
190,3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
191,3669,Office of Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
192,3670,Office of Manufacturing,ELECTRONIC COMPONENTS & ACCESSORIES
193,3672,Office of Manufacturing,PRINTED CIRCUIT BOARDS
194,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES
