,SIC Code,Office,Industry Title
360,6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS
361,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE"
362,6351,Office of Finance,SURETY INSURANCE
363,6361,Office of Finance,TITLE INSURANCE
364,6399,Office of Finance,"INSURANCE CARRIERS, NEC"
365,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE"
366,6500,Office of Real Estate & Construction,REAL ESTATE
367,6510,Office of Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS
368,6512,Office of Real Estate & Construction,OPERATORS OF NONRESIDENTIAL BUILDINGS
369,6513,Office of Real Estate & Construction,OPERATORS OF APARTMENT BUILDINGS
370,6519,Office of Real Estate & Construction,"LESSORS OF REAL PROPERTY, NEC"
371,6531,Office of Real Estate & Construction,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)
372,6532,Office of Real Estate & Construction,REAL ESTATE DEALERS (FOR THEIR OWN ACCOUNT)
373,6552,Office of Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)
374,6770,Office of Real Estate & Construction,BLANK CHECKS
375,6792,Office of Real Estate & Construction,OIL ROYALTY TRADERS
376,6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS
377,6795,Office of Real Estate & Construction,MINERAL ROYALTY TRADERS
378,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS
379,6799,Office of Real Estate & Construction,"INVESTORS, NEC"
380,7000,Office of Real Estate & Construction,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES"
381,7011,Office of Real Estate & Construction,HOTELS & MOTELS
382,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES
383,7310,Office of Trade & Services,SERVICES-ADVERTISING
384,7311,Office of Trade & Services,SERVICES-ADVERTISING AGENCIES
385,7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
386,7330,Office of Trade & Services,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"
387,7331,Office of Trade & Services,SERVICES-DIRECT MAIL ADVERTISING SERVICES
388,7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS
389,7350,Office of Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING
390,7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
391,7361,Office of Trade & Services,SERVICES-EMPLOYMENT AGENCIES
392,7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES
393,7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
394,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES
395,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE
396,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
397,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
398,7377,Office of Trade & Services,SERVICES-COMPUTER RENTAL & LEASING
399,7380,Office of Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES
400,7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES"
401,7384,Office of Trade & Services,SERVICES-PHOTOFINISHING LABORATORIES
402,7385,Office of Trade & Services,SERVICES-TELEPHONE INTERCONNECT SYSTEMS
403,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC"
404,7500,Office of Trade & Services,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING"
405,7510,Office of Trade & Services,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)
406,7600,Office of Trade & Services,SERVICES-MISCELLANEOUS REPAIR SERVICES
407,7812,Office of Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION
408,7819,Office of Trade & Services,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION
409,7822,Office of Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION
410,7829,Office of Trade & Services,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION
411,7830,Office of Trade & Services,SERVICES-MOTION PICTURE THEATERS
412,7841,Office of Trade & Services,SERVICES-VIDEO TAPE RENTAL
413,7900,Office of Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES
414,7948,Office of Trade & Services,"SERVICES-RACING, INCLUDING TRACK OPERATION"
415,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
416,7997,Office of Trade & Services,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS
417,8000,Office of Life Sciences,SERVICES-HEALTH SERVICES
418,8011,Office of Life Sciences,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE
419,8050,Office of Life Sciences,SERVICES-NURSING & PERSONAL CARE FACILITIES
420,8051,Office of Life Sciences,SERVICES-SKILLED NURSING CARE FACILITIES
421,8060,Office of Life Sciences,SERVICES-HOSPITALS
422,8062,Office of Life Sciences,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
423,8071,Office of Life Sciences,SERVICES-MEDICAL LABORATORIES
424,8082,Office of Life Sciences,SERVICES-HOME HEALTH CARE SERVICES
425,8090,Office of Life Sciences,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
426,8093,Office of Life Sciences,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC"
427,8111,Office of Trade & Services,SERVICES-LEGAL SERVICES
428,8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES
429,8300,Office of Trade & Services,SERVICES-SOCIAL SERVICES
430,8351,Office of Trade & Services,SERVICES-CHILD DAY CARE SERVICES
431,8600,Office of Trade & Services,SERVICES-MEMBERSHIP ORGANIZATIONS
432,8700,Office of Trade & Services,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
433,8711,Office of Trade & Services,SERVICES-ENGINEERING SERVICES
434,8731,Office of Trade & Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
435,8734,Office of Trade & Services,SERVICES-TESTING LABORATORIES
436,8741,Office of Trade & Services,SERVICES-MANAGEMENT SERVICES
437,8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES
438,8744,Office of Trade & Services,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
439,8880,Office of International Corp Fin,AMERICAN DEPOSITARY RECEIPTS
440,8888,Office of International Corp Fin,FOREIGN GOVERNMENTS
441,8900,Office of Trade & Services,"SERVICES-SERVICES, NEC"
442,9721,Office of International Corp Fin,INTERNATIONAL AFFAIRS
443,9995,Office of Real Estate & Construction,NON-OPERATING ESTABLISHMENTS
